Sistem,Teknoloji,Ortam,HPE P50 [m],HPE P95 [m],VPE P95 [m],Kullanılabilirlik,Alan [km²],CAPEX [TL/km²],OPEX [TL/km²/yıl]
YERKON (Şehir İçi - Kalibreli)¹,Karasal PNT (SX1280/LoRa TWR),Dış,"1,64","3,40","1,00","≈ %100,0","1,00",≈ 49.179,-
YERKON (Şehir İçi - Ham)²,Karasal PNT (SX1280/LoRa TWR),Dış,"2,15","4,82","1,04","≈ %100,0","1,00",≈ 49.179,-
YERKON (Kırsal)³,Karasal PNT (E28-SX1280 TWR),Dış,"7,81","26,49","1,03","≈ %100,0","1,01",≈ 140.705,-
YERKON (Kritik Bölge/Tünel)⁴,Karasal PNT (UWB/DWM3000 TWR),İç + dış,"0,43","1,45","0,69","≈ %99,3","1,00",≈ 1.363.123,-
