scenario_id,method,anchor_count,tag_count,requested_update_rate_hz,frames_per_fix,frame_duration_s,guard_duration_s,scheduling_model,frames_per_second_offered,airtime_fraction,scheduled_occupancy,overloaded,collision_probability,packet_delivery_probability,requested_fixes_per_second,achievable_fixes_per_second,achieved_per_tag_update_rate_hz,max_supported_tags,energy_per_valid_fix_j
scenario-000040,TDOA,5,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,
scenario-000041,TDOA,5,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,
scenario-000042,TDOA,5,10,1.0,1,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,10.0,10.0,1.0,833,
scenario-000043,TDOA,5,10,5.0,1,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,50.0,50.0,5.0,166,
scenario-000044,SS_TWR,5,1,1.0,10,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,1.0,1.0,1.0,83,
scenario-000045,SS_TWR,5,1,5.0,10,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,5.0,5.0,5.0,16,
scenario-000046,SS_TWR,5,10,1.0,10,0.001,0.0002,scheduled,100.0,0.12000000000000001,0.12000000000000001,False,,,10.0,10.0,1.0,83,
scenario-000047,SS_TWR,5,10,5.0,10,0.001,0.0002,scheduled,500.0,0.6000000000000001,0.6000000000000001,False,,,50.0,50.0,5.0,16,
scenario-000048,SS_TWR,5,1,1.0,10,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,1.0,1.0,1.0,83,
scenario-000049,SS_TWR,5,1,5.0,10,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,5.0,5.0,5.0,16,
scenario-000050,SS_TWR,5,10,1.0,10,0.001,0.0002,scheduled,100.0,0.12000000000000001,0.12000000000000001,False,,,10.0,10.0,1.0,83,
scenario-000051,SS_TWR,5,10,5.0,10,0.001,0.0002,scheduled,500.0,0.6000000000000001,0.6000000000000001,False,,,50.0,50.0,5.0,16,
scenario-000052,DS_TWR,5,1,1.0,15,0.001,0.0002,scheduled,15.0,0.018000000000000002,0.018000000000000002,False,,,1.0,1.0,1.0,55,
scenario-000053,DS_TWR,5,1,5.0,15,0.001,0.0002,scheduled,75.0,0.09000000000000001,0.09000000000000001,False,,,5.0,5.0,5.0,11,
scenario-000054,DS_TWR,5,10,1.0,15,0.001,0.0002,scheduled,150.0,0.18000000000000002,0.18000000000000002,False,,,10.0,10.0,1.0,55,
scenario-000055,DS_TWR,5,10,5.0,15,0.001,0.0002,scheduled,750.0,0.9000000000000001,0.9000000000000001,False,,,50.0,50.0,5.0,11,
scenario-000056,TDOA,5,1,1.0,1,0.001,0.0002,scheduled,1.0,0.0012000000000000001,0.0012000000000000001,False,,,1.0,1.0,1.0,833,
scenario-000057,TDOA,5,1,5.0,1,0.001,0.0002,scheduled,5.0,0.006,0.006,False,,,5.0,5.0,5.0,166,
scenario-000058,TDOA,5,10,1.0,1,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,10.0,10.0,1.0,833,
scenario-000059,TDOA,5,10,5.0,1,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,50.0,50.0,5.0,166,
scenario-000060,SS_TWR,5,1,1.0,10,0.001,0.0002,scheduled,10.0,0.012,0.012,False,,,1.0,1.0,1.0,83,
scenario-000061,SS_TWR,5,1,5.0,10,0.001,0.0002,scheduled,50.0,0.060000000000000005,0.060000000000000005,False,,,5.0,5.0,5.0,16,
scenario-000062,SS_TWR,5,10,1.0,10,0.001,0.0002,scheduled,100.0,0.12000000000000001,0.12000000000000001,False,,,10.0,10.0,1.0,83,
scenario-000063,SS_TWR,5,10,5.0,10,0.001,0.0002,scheduled,500.0,0.6000000000000001,0.6000000000000001,False,,,50.0,50.0,5.0,16,
scenario-000064,SS_TWR,8,1,1.0,16,0.001,0.0002,scheduled,16.0,0.019200000000000002,0.019200000000000002,False,,,1.0,1.0,1.0,52,
scenario-000065,SS_TWR,8,1,5.0,16,0.001,0.0002,scheduled,80.0,0.096,0.096,False,,,5.0,5.0,5.0,10,
scenario-000066,SS_TWR,8,10,1.0,16,0.001,0.0002,scheduled,160.0,0.192,0.192,False,,,10.0,10.0,1.0,52,
scenario-000067,SS_TWR,8,10,5.0,16,0.001,0.0002,scheduled,800.0,0.9600000000000001,0.9600000000000001,False,,,50.0,50.0,5.0,10,
scenario-000068,DS_TWR,8,1,1.0,24,0.001,0.0002,scheduled,24.0,0.028800000000000003,0.028800000000000003,False,,,1.0,1.0,1.0,34,
scenario-000069,DS_TWR,8,1,5.0,24,0.001,0.0002,scheduled,120.0,0.14400000000000002,0.14400000000000002,False,,,5.0,5.0,5.0,6,
