scenario_id,method,acc_n_success,acc_x_bias_m,acc_y_bias_m,acc_z_bias_m,acc_x_mae_m,acc_y_mae_m,acc_z_mae_m,acc_x_rmse_m,acc_y_rmse_m,acc_z_rmse_m,acc_x_std_m,acc_y_std_m,acc_z_std_m,acc_horizontal_mae_m,acc_horizontal_rmse_m,acc_horizontal_p50_m,acc_horizontal_p68_m,acc_horizontal_p90_m,acc_horizontal_p95_m,acc_horizontal_p99_m,acc_horizontal_max_m,acc_cep50_m,acc_cep95_m,acc_vertical_mae_m,acc_vertical_rmse_m,acc_vertical_p50_m,acc_vertical_p68_m,acc_vertical_p90_m,acc_vertical_p95_m,acc_vertical_p99_m,acc_vertical_max_m,acc_error_3d_mae_m,acc_error_3d_rmse_m,acc_error_3d_std_m,acc_error_3d_p50_m,acc_error_3d_p68_m,acc_error_3d_p75_m,acc_error_3d_p90_m,acc_error_3d_p95_m,acc_error_3d_p99_m,acc_error_3d_max_m,acc_sep50_m,acc_sep95_m,acc_error_ellipsoid_volume_m3
scenario-000000,UWB_SS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000001,UWB_SS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000002,UWB_SS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000003,UWB_SS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000004,UWB_DS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000005,UWB_DS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000006,UWB_DS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000007,UWB_DS_TWR,100,0.005008042591321034,-0.002003826600697396,0.18786144157992457,0.10586775611449431,0.10894361822980583,0.4479512283118963,0.1393046803333196,0.1429493753130873,0.5652962862202283,0.13921463095584413,0.14293533006697895,0.5331678628554941,0.17030519214944523,0.19960039545344155,0.14403032767470342,0.22002874108245166,0.30267711138241443,0.37165763879658326,0.45332996782877966,0.45565170830118484,0.14403032767470342,0.37165763879658326,0.4479512283118963,0.5652962862202283,0.35030916735727624,0.5126290987636243,0.829132127977065,1.103156896007801,1.6164229418839295,1.8412694966360812,0.500717973777142,0.5994999658711855,0.3296691065539293,0.4183225210707866,0.5675374113588275,0.6493207336017326,0.872368823938899,1.1050515210268181,1.6445044853337545,1.8782985539181154,0.4183225210707866,1.1050515210268181,0.04467183669815267
scenario-000008,TDOA,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029
scenario-000009,TDOA,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029
scenario-000010,TDOA,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029
scenario-000011,TDOA,100,8.109917733289326,-24.381861024630748,-990.0566208511885,15.788825717523856,32.64150638663592,4169.173836580205,52.84721036354997,124.18642583650488,15028.470108103029,52.221230142237964,121.76942643792539,14995.822807623963,38.620232684773846,134.96331355318392,0.5396174388125923,1.905212404720505,86.76638027170358,248.54442102412122,605.2565923982971,947.2046992625122,0.5396174388125923,248.54442102412122,4169.173836580205,15028.470108103029,5.804268307078265,11.423713612069312,11074.714980968562,21185.25761322684,59535.04542699307,105903.7234645345,4169.5757728462395,15029.076115521922,14439.105469545031,5.8205936127849425,11.576716680141436,20.242913463611377,11075.172667129207,21185.388532684374,59538.08328933905,105904.00914885639,5.8205936127849425,21185.388532684374,275821632.4896029
