scenario_id,method,path_id,path_type,sample_count,path_3d_length_m,horizontal_path_length_m,vertical_travel_m,duration_s,mean_speed_m_s,max_speed_m_s,vertical_speed_m_s,horizontal_rmse_m,vertical_rmse_m,error_3d_rmse_m,error_3d_p95_m,cross_track_rmse_m,along_track_rmse_m,dropouts,longest_outage
scenario-000000,UWB_SS_TWR,scenario-000000-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000001,UWB_SS_TWR,scenario-000001-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000002,UWB_SS_TWR,scenario-000002-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000003,UWB_SS_TWR,scenario-000003-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000004,UWB_DS_TWR,scenario-000004-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000005,UWB_DS_TWR,scenario-000005-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000006,UWB_DS_TWR,scenario-000006-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000007,UWB_DS_TWR,scenario-000007-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000008,TDOA,scenario-000008-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0
scenario-000009,TDOA,scenario-000009-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0
scenario-000010,TDOA,scenario-000010-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0
scenario-000011,TDOA,scenario-000011-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,134.96331355318392,15028.470108103029,15029.076115521922,21185.388532684374,14947.670967490332,1562.1336478669568,0,0
scenario-000012,SX1280_RANGING,scenario-000012-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000013,SX1280_RANGING,scenario-000013-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000014,SX1280_RANGING,scenario-000014-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
scenario-000015,SX1280_RANGING,scenario-000015-default-path,STRAIGHT_LINE,5,17.06575518399347,16.97056274847714,1.7999999999999998,5.0,3.413151036798694,3.413151036798694,0.35999999999999993,0.19960039545344155,0.5652962862202283,0.5994999658711855,1.1050515210268181,0.5812896458707403,0.14663750094372857,0,0
