scenario_id,method,geometry_valid_fraction,jacobian_rank,geometry_valid,failure_reason,redundant,reference_count,condition_number,hull_contains_tag,crlb_crlb_x_m,crlb_crlb_y_m,crlb_crlb_z_m
scenario-000000,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000001,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000002,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000003,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000004,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000005,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000006,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000007,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000008,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968
scenario-000009,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968
scenario-000010,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968
scenario-000011,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,0.7469556987515527,0.7469556987515525,8.528057929532968
scenario-000012,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000013,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000014,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000015,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,0.15926591250660804,0.15926591250660802,0.6217531824986616
scenario-000016,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000017,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000018,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000019,UWB_SS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000020,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000021,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000022,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000023,UWB_DS_TWR,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000024,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,10.422329583227247,10.422329583227247,118.99263985133688
scenario-000025,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,10.422329583227247,10.422329583227247,118.99263985133688
scenario-000026,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,10.422329583227247,10.422329583227247,118.99263985133688
scenario-000027,TDOA,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,112.23865528306885,,10.422329583227247,10.422329583227247,118.99263985133688
scenario-000028,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000029,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000030,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000031,SX1280_RANGING,0.0,3,False,COPLANAR_WEAK_VERTICAL,False,4,4.546234028149045,,2.222249370734652,2.222249370734652,8.67536936695472
scenario-000032,UWB_SS_TWR,1.0,3,True,,True,5,3.743972556046877,True,0.15789707716491053,0.1578970771649105,0.43349782119445224
