scenario_id,width_m,length_m,height_m,floor_area_m2,volume_m3,anchor_count,anchors_per_sqm,anchors_per_cubic_m,nlos_probability,nlos_bias_m,packet_loss_probability
scenario-000058,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000059,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000060,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000061,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000062,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000063,20.0,20.0,6.0,400.0,2400.0,5,0.0125,0.0020833333333333333,0.1,0.5,
scenario-000064,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000065,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000066,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000067,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000068,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000069,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000070,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000071,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000072,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000073,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000074,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000075,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000076,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000077,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000078,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000079,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000080,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000081,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000082,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000083,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000084,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000085,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000086,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000087,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000088,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000089,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000090,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000091,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000092,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000093,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000094,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
scenario-000095,20.0,20.0,6.0,400.0,2400.0,8,0.02,0.0033333333333333335,0.1,0.5,
