case,radio,condition,bandwidth_hz,snr_db,true_range_m,trials,mean_error_m,median_error_m,std_error_m,p95_abs_error_m,max_abs_error_m,std_ci_lo_m,std_ci_hi_m,std_at_quarter_m,std_at_half_m
sx1280_1600k_los,SX1280,LOS,1625000,25.0,400.0,300,-0.055786,-0.038689,0.158354,0.129406,1.891189,0.052776,0.237549,0.051722,0.159829
sx1280_1600k_los,SX1280,LOS,1625000,25.0,50.0,300,-0.040382,-0.031294,0.225077,0.155960,1.830086,0.128437,0.305485,0.195276,0.257853
sx1280_1600k_los,SX1280,LOS,1625000,6.0,1000.0,300,-0.048285,-0.051415,0.535836,0.902258,3.565929,0.455529,0.639289,0.410775,0.488946
sx1280_1600k_los,SX1280,LOS,1625000,6.0,250.0,300,0.085666,0.084364,0.453373,0.873993,2.348212,0.397509,0.512038,0.461666,0.423904
sx1280_1600k_los,SX1280,LOS,1625000,6.0,3000.0,300,0.032680,0.013284,0.465350,0.884438,2.288406,0.407674,0.520339,0.433998,0.421908
sx1280_1600k_los,SX1280,LOS,1625000,6.0,400.0,300,-0.070996,-0.037763,0.460072,0.890367,2.699160,0.408580,0.520620,0.537952,0.469415
sx1280_1600k_los,SX1280,LOS,1625000,6.0,50.0,300,-0.091831,-0.063161,0.464193,0.903676,2.245779,0.412097,0.513891,0.420266,0.463608
sx1280_1600k_nlos,SX1280,NLOS,1625000,-12.0,1000.0,1200,2.604824,0.793360,17.129480,35.552088,134.570741,15.416876,18.981568,15.004102,16.676853
sx1280_1600k_nlos,SX1280,NLOS,1625000,-12.0,250.0,1200,2.904707,0.550386,17.304259,32.790284,145.734183,15.244703,19.522030,18.606653,16.539032
sx1280_1600k_nlos,SX1280,NLOS,1625000,-12.0,3000.0,1200,2.404218,0.589665,18.781676,38.080148,154.558220,16.769897,20.682696,16.952804,19.413053
sx1280_1600k_nlos,SX1280,NLOS,1625000,-12.0,400.0,1200,2.387254,0.633550,18.824016,36.237437,155.451874,16.524844,21.397945,19.511770,19.828317
sx1280_1600k_nlos,SX1280,NLOS,1625000,-12.0,50.0,1200,2.469517,0.223159,20.981112,39.330287,163.352813,18.492862,23.606849,17.352833,18.381855
sx1280_1600k_nlos,SX1280,NLOS,1625000,-20.0,1000.0,1200,2.789629,1.396556,22.027667,38.916787,213.818066,18.939786,24.782116,16.494893,19.566556
sx1280_1600k_nlos,SX1280,NLOS,1625000,-20.0,250.0,1200,3.276944,1.759216,23.047417,45.876393,183.563682,20.499940,25.578097,24.924798,25.493586
sx1280_1600k_nlos,SX1280,NLOS,1625000,-20.0,3000.0,1200,3.097027,1.649230,20.894724,43.368373,151.588279,18.878118,22.956530,21.247224,20.890520
sx1280_1600k_nlos,SX1280,NLOS,1625000,-20.0,400.0,1200,-0.072094,1.652963,94.314624,42.145130,3176.341942,19.972322,160.519473,22.541020,131.592180
sx1280_1600k_nlos,SX1280,NLOS,1625000,-20.0,50.0,1200,17.899612,0.810626,389.254359,42.457980,10919.506477,20.280177,629.698251,629.680736,445.842694
sx1280_1600k_nlos,SX1280,NLOS,1625000,-6.0,1000.0,1200,2.713435,0.226465,17.602130,35.741974,152.452236,15.413381,19.678783,20.190402,18.479939
sx1280_1600k_nlos,SX1280,NLOS,1625000,-6.0,250.0,1200,2.313797,0.331149,16.955823,35.958234,145.747626,15.158450,18.777524,18.680683,16.984220
sx1280_1600k_nlos,SX1280,NLOS,1625000,-6.0,3000.0,1200,1.838430,0.133664,16.197655,34.027862,156.248097,14.055193,18.382258,15.670977,16.043876
sx1280_1600k_nlos,SX1280,NLOS,1625000,-6.0,400.0,1200,3.350108,0.446008,19.480599,36.356865,159.056533,17.215338,22.124793,21.490329,19.085572
sx1280_1600k_nlos,SX1280,NLOS,1625000,-6.0,50.0,1200,1.738467,0.106877,17.507736,36.093161,156.017176,15.428188,19.642549,14.949992,17.779837
sx1280_1600k_nlos,SX1280,NLOS,1625000,0.0,1000.0,1200,3.430358,0.186227,17.996194,38.549634,141.607911,15.965166,19.987939,17.268767,17.938441
sx1280_1600k_nlos,SX1280,NLOS,1625000,0.0,250.0,1200,2.510733,0.242949,16.147635,35.445138,140.608414,14.588040,17.992902,15.051542,16.054664
sx1280_1600k_nlos,SX1280,NLOS,1625000,0.0,3000.0,1200,1.828759,0.132113,17.435307,35.676577,151.986952,15.416526,19.438385,18.396990,17.618762
sx1280_1600k_nlos,SX1280,NLOS,1625000,0.0,400.0,1200,3.439773,0.168617,19.681262,38.592128,162.937279,17.232251,22.007201,25.479160,21.300136
sx1280_1600k_nlos,SX1280,NLOS,1625000,0.0,50.0,1200,2.590962,0.131065,18.144302,35.655982,158.220501,15.817522,20.521009,17.106980,18.356956
sx1280_1600k_nlos,SX1280,NLOS,1625000,12.0,1000.0,1200,2.149952,0.005635,16.362704,32.216205,162.247929,14.137438,18.882209,16.015695,16.674936
sx1280_1600k_nlos,SX1280,NLOS,1625000,12.0,250.0,1200,2.814648,0.071683,16.394620,36.787583,127.653012,14.658954,18.290378,15.237750,16.138553
sx1280_1600k_nlos,SX1280,NLOS,1625000,12.0,3000.0,1200,2.196594,0.020564,17.836215,36.093909,159.988103,15.652681,20.082320,18.054143,17.877269
sx1280_1600k_nlos,SX1280,NLOS,1625000,12.0,400.0,1200,2.232522,0.000519,18.166426,35.841184,157.393547,16.018550,20.466192,17.111759,17.910745
sx1280_1600k_nlos,SX1280,NLOS,1625000,12.0,50.0,1200,1.474102,0.009789,16.931270,37.934607,149.435239,15.202739,18.771376,15.966757,17.139934
sx1280_1600k_nlos,SX1280,NLOS,1625000,18.0,1000.0,1200,2.389570,-0.013097,17.688361,35.600324,149.829938,15.241813,20.047148,14.295503,16.753502
sx1280_1600k_nlos,SX1280,NLOS,1625000,18.0,250.0,1200,2.904918,0.062298,18.664624,37.760981,148.973596,16.458525,20.882635,18.159552,17.971612
sx1280_1600k_nlos,SX1280,NLOS,1625000,18.0,3000.0,1200,3.562743,0.019142,18.529436,35.067951,157.084765,16.075358,20.915897,16.664161,17.584133
sx1280_1600k_nlos,SX1280,NLOS,1625000,18.0,400.0,1200,1.779232,-0.013196,17.426394,34.443929,162.463866,14.821311,19.854402,17.579821,18.281007
sx1280_1600k_nlos,SX1280,NLOS,1625000,18.0,50.0,1200,1.671718,-0.011766,18.329326,36.191729,160.280237,15.975762,20.631418,16.651378,18.939197
sx1280_1600k_nlos,SX1280,NLOS,1625000,25.0,1000.0,1200,3.084710,-0.021940,17.093436,35.770905,157.957581,14.979126,19.268452,14.442670,17.584946
sx1280_1600k_nlos,SX1280,NLOS,1625000,25.0,250.0,1200,1.958696,0.041423,15.349769,33.410644,148.003046,13.474286,17.215966,12.830866,13.711139
sx1280_1600k_nlos,SX1280,NLOS,1625000,25.0,3000.0,1200,2.612687,-0.008345,17.260964,35.315770,151.042433,15.185394,19.351140,18.187137,19.269721
sx1280_1600k_nlos,SX1280,NLOS,1625000,25.0,400.0,1200,2.479018,-0.028265,18.421934,36.733857,154.403094,16.000569,20.719041,13.761740,17.770660
sx1280_1600k_nlos,SX1280,NLOS,1625000,25.0,50.0,1200,2.679443,-0.022502,16.687793,36.708540,140.993383,14.740823,18.725370,14.999185,15.448307
sx1280_1600k_nlos,SX1280,NLOS,1625000,6.0,1000.0,1200,2.467869,0.069221,16.599398,33.930276,157.060318,14.114603,19.267645,20.893636,17.134997
sx1280_1600k_nlos,SX1280,NLOS,1625000,6.0,250.0,1200,3.301585,0.139736,17.539834,34.286935,150.833396,15.444725,20.107623,18.622027,17.552893
sx1280_1600k_nlos,SX1280,NLOS,1625000,6.0,3000.0,1200,1.870673,0.096616,15.632189,34.720784,156.538974,13.850945,17.403936,12.863202,15.321010
sx1280_1600k_nlos,SX1280,NLOS,1625000,6.0,400.0,1200,3.009484,0.067631,18.196490,36.139009,158.741463,16.009206,20.561570,16.047380,18.056094
sx1280_1600k_nlos,SX1280,NLOS,1625000,6.0,50.0,1200,3.197257,0.082719,16.393003,35.225689,143.151696,14.862126,18.158109,17.105234,16.914808
sx1280_203k_los,SX1280,LOS,203000,-12.0,1000.0,300,-1.541279,-1.113721,28.805182,56.024956,85.961515,26.561888,30.949051,29.277825,28.351908
sx1280_203k_los,SX1280,LOS,203000,-12.0,250.0,300,-0.111159,-0.843438,27.304694,52.841909,81.389533,25.022905,29.420461,27.999554,26.502288
sx1280_203k_los,SX1280,LOS,203000,-12.0,3000.0,300,0.439925,0.966660,28.124254,56.454956,81.568168,25.693913,30.446951,29.732272,27.959533
sx1280_203k_los,SX1280,LOS,203000,-12.0,400.0,300,-0.134044,0.666844,26.658874,52.429595,68.466375,24.794352,28.574945,25.663285,28.610666
sx1280_203k_los,SX1280,LOS,203000,-12.0,50.0,300,-1.577995,-1.646960,29.836339,57.017511,91.781881,27.359500,32.174138,29.460300,30.221452
sx1280_203k_los,SX1280,LOS,203000,-20.0,1000.0,300,-1.258526,0.859048,75.367472,140.129025,295.810692,69.267940,81.641282,75.920440,71.997341
sx1280_203k_los,SX1280,LOS,203000,-20.0,250.0,300,9.600711,12.729676,67.858210,121.069731,234.555117,62.549852,73.264848,65.374842,63.798542
sx1280_203k_los,SX1280,LOS,203000,-20.0,3000.0,300,1.176031,1.786087,72.472934,146.330044,236.643635,67.042025,78.423787,74.540151,71.960165
sx1280_203k_los,SX1280,LOS,203000,-20.0,400.0,300,-1.373828,-6.585385,62.255323,119.539733,185.315426,57.296284,67.119285,61.744506,57.113896
sx1280_203k_los,SX1280,LOS,203000,-20.0,50.0,300,1.824230,3.932359,72.200585,134.835348,218.106806,66.867133,77.053691,65.302785,70.996782
sx1280_203k_los,SX1280,LOS,203000,-6.0,1000.0,300,-0.266633,-0.986053,15.195385,28.409538,47.681117,14.082515,16.304443,17.143574,15.348150
