Sistem,Teknoloji,Ortam,HPE P50 [m],HPE P95 [m],VPE P95 [m],Kullanılabilirlik,Alan [km²],CAPEX [TL/km²],OPEX [TL/km²/yıl]
YERKON (Şehir İçi - Kalibreli)¹,Karasal PNT (SX1280/LoRa TWR),Dış,"2,00","4,13","35,56","≈ %100,0","1,00",≈ 66.937,-
YERKON (Şehir İçi - Ham)²,Karasal PNT (SX1280/LoRa TWR),Dış,"2,44","5,74","49,85","≈ %100,0","1,00",≈ 66.937,-
YERKON (Kırsal)³,Karasal PNT (E28-SX1280 TWR),Dış,"7,15","26,82","29,72","≈ %100,0","1,01",≈ 200.854,-
YERKON (Kritik Bölge/Tünel)⁴,Karasal PNT (UWB/DWM3000 TWR),İç + dış,"0,11","0,86","4,21","≈ %99,3","1,00",≈ 1.363.123,-
