offset_ppm,snr_db,residual_ppm_rms,single_sided_error_m,reply_s
2,5,63.14517915,151.9532537,0.01605384615
2,10,0.033124593,0.07971138496,0.01605384615
2,15,0.02324650754,0.05594065143,0.01605384615
2,20,0.01879337925,0.04522459455,0.01605384615
2,25,0.01726016018,0.04153503931,0.01605384615
2,30,0.0164532271,0.03959322667,0.01605384615
2,35,0.01658676833,0.03991458174,0.01605384615
2,40,0.01646905284,0.03963130992,0.01605384615
5,5,61.46041765,147.8990251,0.01605384615
5,10,0.07930110708,0.1908310563,0.01605384615
5,15,0.06963353391,0.1675669019,0.01605384615
5,20,0.06550192947,0.1576245636,0.01605384615
5,25,0.06593730164,0.1586722479,0.01605384615
5,30,0.06531993285,0.1571866049,0.01605384615
5,35,0.06450370394,0.1552224227,0.01605384615
5,40,0.0643040379,0.1547419441,0.01605384615
10,5,44.15431397,106.2534268,0.01605384615
10,10,0.03202446175,0.077064017,0.01605384615
10,15,0.02816672183,0.06778070923,0.01605384615
10,20,0.02645438138,0.06366011433,0.01605384615
10,25,0.02627178736,0.06322071807,0.01605384615
10,30,0.02589297145,0.06230913131,0.01605384615
10,35,0.02595365095,0.06245515111,0.01605384615
10,40,0.02604547496,0.06267611743,0.01605384615
20,5,60.22863853,144.9348582,0.01605384615
20,10,0.04213859499,0.1014027785,0.01605384615
20,15,0.025144549,0.06050811928,0.01605384615
20,20,0.02060454185,0.04958299614,0.01605384615
20,25,0.01809456685,0.0435429647,0.01605384615
20,30,0.01720746438,0.04140823156,0.01605384615
20,35,0.01744427607,0.04197809781,0.01605384615
20,40,0.01734515807,0.04173957918,0.01605384615
